date,steps,rest_hr,floors,exercise_minutes,stand_minutes,walk_hr
2020-04-08,6239,65,3,32,81,97
2020-04-09,10955,67,5,54,125,101
2020-04-10,11169,61,3,47,131,96
2020-04-11,7301,65,3,45,107,94.5
2020-04-12,10826,65,9,61,114,104
2020-04-13,9340,63,2,48,110,94
2020-04-14,12991,64,8,81,153,92
2020-04-15,10791,70,4,72,127,97
2020-04-16,11973,65,4,44,139,92.5
2020-04-17,11563,69,8,62,125,97
2020-04-18,12647,61,4,69,154,93
2020-04-19,10941,62,2,51,134,96
2020-04-20,4850,65,5,25,89,103.5
2020-04-21,11472,62,5,45,131,93
2020-04-22,10100,68,2,58,119,100
2020-04-23,5541,60,2,18,98,92
2020-04-24,11988,73,3,60,199,101.5
2020-04-25,11051,63,4,56,116,97
2020-04-26,10901,60,3,77,126,108
2020-04-27,12171,75,26,82,126,95
2020-04-28,9546,68,4,51,120,105
2020-04-29,11701,68,18,66,121,122
2020-04-30,9606,62,2,44,120,103.5
2020-05-01,11033,63,1,47,144,107
2020-05-02,11869,63,6,60,143,96
2020-05-03,7073,65,17,39,80,109
2020-05-04,15872,64,20,99,158,101
2020-05-05,11466,66,3,56,122,103
2020-05-06,10830,63,7,58,131,100.5
2020-05-07,10150,64,3,47,117,96
2020-05-08,14708,65,21,73,150,112
2020-05-09,10428,59,8,67,105,102
2020-05-10,11720,55,3,62,143,96.5
2020-05-11,10179,62,3,42,147,108
2020-05-12,9274,62,1,35,120,94.5
2020-05-13,12092,62,3,44,136,97
2020-05-14,11487,60,3,28,142,97
2020-05-15,11826,64,5,62,178,99
2020-05-16,10047,57,3,33,114,100
2020-05-17,12812,59,5,41,142,103.5
2020-05-18,6060,59,1,27,103,113
2020-05-19,12194,64,4,33,157,98.5
2020-05-20,10986,60,4,33,149,97
2020-05-21,13021,58,7,46,162,101
2020-05-22,11205,61,6,56,148,102
2020-05-23,11002,56,5,48,140,98
2020-05-24,8381,61,3,26,128,89
2020-05-25,10784,56,4,38,134,97
2020-05-26,10231,65,3,28,143,98
2020-05-27,12461,66,4,39,153,102
2020-05-28,11977,66,3,46,170,97
2020-05-29,10404,69,9,27,178,99
2020-05-30,11483,60,1,51,170,96.5
2020-05-31,11879,64,3,59,151,99.5
2020-06-01,11307,61,2,31,127,95.5
2020-06-02,11490,63,1,49,130,102
2020-06-03,9603,61,5,50,125,112
2020-06-04,11271,59,4,55,136,95.5
2020-06-05,12473,58,4,68,147,98
2020-06-06,5042,72,2,21,113,100.5
2020-06-07,10809,62,NA,31,119,105.5
2020-06-08,10358,60,NA,44,119,98
2020-06-09,12718,63,1,40,162,96
2020-06-10,11344,62,3,43,121,91
2020-06-11,11334,58,5,47,147,103
2020-06-12,12198,63,2,36,171,99
2020-06-13,11325,57,2,34,126,92
2020-06-14,13090,59,1,63,183,99
2020-06-15,8749,58,1,38,122,93.5
2020-06-16,12951,65,3,49,176,103
2020-06-17,13452,62,6,65,182,92
2020-06-18,12753,62,3,50,186,100.5
2020-06-19,10682,58,2,30,122,96.5
2020-06-20,11447,61,2,30,126,99
2020-06-21,11638,62,1,58,139,95.5
2020-06-22,1452,61,NA,1,45,87
2020-06-23,11552,61,3,69,158,101
2020-06-24,9827,64,3,28,118,106
2020-06-25,12849,61,2,68,177,97
2020-06-26,12308,65,NA,61,147,98
2020-06-27,10318,59,2,35,121,98
2020-06-28,11437,67,4,67,155,101
2020-06-29,9290,60,2,52,121,97
2020-06-30,11138,63,4,64,135,99
2020-07-01,4083,61,3,35,102,91
2020-07-02,11340,60,1,47,156,98
2020-07-03,12767,63,4,35,182,94
2020-07-04,12002,57,2,52,157,97
2020-07-05,11720,63,1,37,126,96
2020-07-06,2384,60,2,31,67,114
2020-07-07,12075,62,3,50,156,96
2020-07-08,11946,61,1,74,156,101
2020-07-09,12040,62,4,44,132,102
2020-07-10,11218,60,1,38,131,101
2020-07-11,10822,58,2,47,153,97.5
2020-07-12,1172,58,1,2,44,82
2020-07-13,11872,62,2,56,153,96
2020-07-14,12707,64,2,67,168,99
2020-07-15,11244,61,1,50,144,104
2020-07-16,10556,60,3,43,182,100.5
2020-07-17,11373,65,1,52,143,98.5
2020-07-18,12033,60,NA,44,191,99
2020-07-19,10054,63,NA,31,107,101
2020-07-20,11556,64,NA,53,130,96
2020-07-21,11713,63,NA,56,150,102
2020-07-22,11553,64,2,53,146,101
2020-07-23,9807,64,NA,37,131,98
2020-07-24,11073,61,3,52,142,98
2020-07-25,13074,63,5,53,178,97
2020-07-26,11084,64,NA,65,158,97
2020-07-27,5162,68,3,10,101,99
2020-07-28,4561,63,2,23,100,90
2020-07-29,11576,66,3,58,177,103.5
2020-07-30,11388,64,2,56,168,103
2020-07-31,11703,67,1,43,163,101
2020-08-01,13205,57,7,56,266,97
2020-08-02,9335,67,2,42,127,98
2020-08-03,9630,67,1,39,128,97
2020-08-04,8858,64,1,43,123,98
2020-08-05,9748,61,2,53,120,101
2020-08-06,2317,66,2,19,52,106
2020-08-07,1891,65,1,26,54,88
2020-08-08,8960,62,2,52,118,107
2020-08-09,8627,65,1,38,98,110
2020-08-10,2992,57,1,7,55,93.5
2020-08-11,8711,61,2,31,108,85.5
2020-08-12,8752,60,3,43,128,98
2020-08-13,4688,63,NA,25,88,101
2020-08-14,2179,64,1,22,58,90
2020-08-15,8242,63,1,42,112,102
2020-08-16,8334,65,1,49,96,107
2020-08-17,8236,64,NA,75,108,123
2020-08-18,4111,64,1,27,65,106
2020-08-19,6009,65,1,33,81,99
2020-08-20,6544,66,3,32,110,92
2020-08-21,4390,65,2,20,65,104
2020-08-22,10093,65,2,54,129,99.5
2020-08-23,8413,64,1,36,103,99
2020-08-24,2013,66,NA,22,43,NA
2020-08-25,5811,67,2,27,89,126
2020-08-26,4984,66,1,26,79,106
2020-08-27,6276,65,3,28,109,102
2020-08-28,1719,66,1,18,58,95
2020-08-29,7662,64,2,39,106,107
2020-08-30,8129,65,1,35,103,98
2020-08-31,5103,67,4,25,74,105
2020-09-01,4823,67,1,23,80,100
2020-09-02,3899,63,2,2,56,92
2020-09-03,5110,60,1,14,91,88
2020-09-04,7821,64,2,24,106,91
2020-09-05,7238,60,2,47,111,102
2020-09-06,8313,62,1,46,108,97.5
2020-09-07,4263,65,2,26,72,93.5
2020-09-08,5194,63,2,15,72,96.5
2020-09-09,4857,65,1,31,77,NA
2020-09-10,1351,64,NA,1,36,NA
2020-09-11,8527,65,2,41,115,99
2020-09-12,8359,65,5,8,167,105.5
2020-09-13,4052,66,1,23,81,97.5
2020-09-14,4150,64,2,24,82,106
2020-09-15,3969,66,1,23,67,95.5
2020-09-16,4623,67,2,29,75,99
2020-09-17,5186,67,2,10,79,97
2020-09-18,4222,64,1,24,73,107
2020-09-19,6252,63,3,41,121,97.5
2020-09-20,6338,68,3,31,79,102
2020-09-21,4207,65,1,31,78,103
2020-09-22,5282,65,4,27,88,104.5
2020-09-23,5095,68,1,41,91,95
2020-09-24,6008,66,2,13,85,89
2020-09-25,5566,66,3,32,91,103.5
2020-09-26,8277,63,1,35,116,98
2020-09-27,7559,66,1,36,105,100.5
2020-09-28,5027,66,1,32,81,96
2020-09-29,5052,64,1,27,70,80
2020-09-30,5630,67,3,25,88,93
2020-10-01,4101,63,2,13,53,91.5
2020-10-02,6012,64,2,18,79,96
2020-10-03,5556,59,1,34,104,97
2020-10-04,7373,67,2,46,97,101
